-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76	-76
-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	15	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77	-77
-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83	-83
-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	17	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79
-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78
-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	19	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81	-81
-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80
-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	21	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84	-84
-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82	-82
-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54	-54
